Instance,Weight,Version,Path Length,Expanded,Necessary,Elapsed,Reopens,Generated
2,1.5,2,4182,58502,71196,0.44785,0,175699
2,1.6,0,4092,1281227,259735,8.29548,478938,3849006
2,1.6,1,4092,971440,238506,6.44642,220102,2926164
2,1.6,2,4092,482535,138729,3.82415,0,1454153
2,1.7,0,4386,650946,344100,3.37349,227349,1959914
2,1.7,1,4386,455328,307487,2.78775,71176,1374312
2,1.7,2,4386,306171,234739,2.1474,0,925053
2,1.8,0,4386,720794,303664,3.79517,241791,2172527
2,1.8,1,4386,510388,267408,3.13224,78070,1541956
2,1.8,2,4386,347976,205356,2.46856,0,1052401
2,1.9,0,4458,580697,283416,3.95899,218843,1754209
2,1.9,1,4458,388261,244889,2.64483,66921,1176417
2,1.9,2,4458,259413,191071,1.95481,0,786697
2,1,0,3746,5451980,5338347,48.763,32306,16346423
2,1,1,3746,5451980,5338347,50.3931,32306,16346423
2,1,2,3746,5451980,5338347,48.4442,32306,16346423
2,2,0,4824,1431306,982388,5.7391,808716,4314294
2,2,1,5296,1227698,1444686,6.6977,375003,3724847
2,2,2,4632,919710,878315,6.44429,0,2796420
2,3,0,5600,187651,188707,0.827568,79355,562527
2,3,1,5600,109457,160546,0.622937,17483,330046
2,3,2,5940,250321,433690,1.70895,0,757004
2,4,0,5600,489540,277752,2.46918,323368,1467844
2,4,1,5600,213925,221295,1.53503,76213,645023
2,4,2,6046,255161,437013,2.48167,0,770937
2,5,0,6046,729320,356686,3.20896,519880,2186039
2,5,1,6268,347950,474063,2.25625,68411,1049909
2,5,2,6412,474775,777389,3.85154,0,1437081
3,1.1,0,4579,1542845,1686229,15.4913,324804,4665462
3,1.1,1,4579,1305498,1633045,14.4401,128331,3945087
3,1.1,2,4579,1062139,1479320,12.031,0,3201052
3,1.2,0,4725,1161768,1120200,8.91872,386352,3536868
3,1.2,1,4643,873621,887863,7.40123,143081,2658514
3,1.2,2,4643,575061,720852,5.60137,0,1745849
3,1.3,0,4867,2395441,1996155,15.1546,889398,7295520
3,1.3,1,4963,1672995,2137591,12.0946,282539,5090032
3,1.3,2,4963,1021170,1589163,8.2419,0,3107345
3,1.4,0,5181,8690808,7640189,52.8045,3534921,26499764
3,1.4,1,5181,5491634,6707513,40.9509,982348,16748743
3,1.4,2,5315,4809147,8114608,40.6866,0,14624094
3,1.5,0,5465,2370880,2507554,19.4551,936793,7220206
3,1.5,1,5367,2000659,2830759,21.7637,312645,6089735
3,1.5,2,5543,1709162,3025438,21.3135,0,5200999
3,1.6,0,5637,70846,99710,0.845481,16826,215603
3,1.6,1,5687,247907,395962,2.34829,28472,755984
3,1.6,2,5687,175009,319043,1.44223,0,533862
3,1.7,0,5637,243199,268665,1.45108,93744,742853
3,1.7,1,5687,149169,224864,1.07062,25112,457099
3,1.7,2,5687,102105,187096,0.827113,0,312572
3,1.8,0,5741,242705,296780,2.24806,75664,740782
3,1.8,1,5791,363574,531366,2.45686,62647,1111476
3,1.8,2,5857,236918,426592,1.78897,0,722462
3,1.9,0,6043,81203,98700,0.738891,19491,243418
3,1.9,1,5553,158327,246890,1.76909,16058,484521
3,1.9,2,5553,83662,147319,0.975783,0,255876
3,1,0,4475,4065101,3942846,36.5313,20465,12192442
3,1,1,4475,4065101,3942846,37.3416,20465,12192442
3,1,2,4475,4065101,3942846,35.8155,20465,12192442
3,2,0,6203,108825,135273,0.569735,29918,326718
3,2,1,6261,80012,124749,0.491336,7561,241077
3,2,2,6261,49873,86109,0.330336,0,149706
3,3,0,5947,28829,18446,0.313429,7196,86573
3,3,1,5947,19326,15512,0.255574,633,58092
3,3,2,5947,17321,14164,0.232836,0,52031
3,4,0,6361,23778,24242,0.136563,5133,70750
3,4,1,6361,16440,20260,0.105426,431,49077
3,4,2,6361,14378,17762,0.092809,0,42961
3,5,0,6361,178280,29457,0.702028,93306,536917
3,5,1,6361,73371,21804,0.470922,8323,221623
3,5,2,6361,54549,21017,0.347028,0,164474
4,1.1,0,4274,258696,296231,2.53085,35909,762988
4,1.1,1,4274,236036,292608,2.41008,16116,695890
4,1.1,2,4274,208970,279206,2.19911,0,615785
4,1.2,0,4436,26290,34506,0.195747,2120,76907
4,1.2,1,4436,25132,34352,0.186758,1079,73573
4,1.2,2,4436,22761,32549,0.173735,0,66694
4,1.3,0,4522,1870,2839,0.0259108,30,5522
4,1.3,1,4522,1859,2839,0.0256983,19,5489
4,1.3,2,4522,1824,2819,0.0253728,0,5389
4,1.4,0,4522,1685,2314,0.0178245,45,5008
4,1.4,1,4522,1669,2311,0.0108782,29,4960
4,1.4,2,4522,1628,2292,0.0106541,0,4845
4,1.5,0,4522,2716,2907,0.0349105,250,8097
4,1.5,1,4522,2622,2887,0.026774,163,7818
4,1.5,2,4522,2330,2733,0.0246915,0,6958
4,1.6,0,4522,4027,3347,0.0371209,392,11976
4,1.6,1,4522,3860,3307,0.0378983,240,11494
4,1.6,2,4522,3401,3118,0.0348477,0,10128
4,1.7,0,4522,6029,3756,0.0775118,592,17907
4,1.7,1,4522,5723,3717,0.070742,318,17025
4,1.7,2,4522,4988,3467,0.0638001,0,14864
4,1.8,0,5280,107173,114169,0.609736,25134,319900
4,1.8,1,5280,86009,110953,0.537933,6276,257263
4,1.8,2,5280,69561,98108,0.443795,0,207905
4,1.9,0,5818,409973,441177,2.02323,151261,1232285
4,1.9,1,5818,284666,410530,1.66725,47408,856320
4,1.9,2,5908,187491,328519,1.33942,0,562938
4,1,0,4230,1455244,1424417,18.0986,5006,4264705
4,1,1,4230,1455244,1424417,17.9287,5006,4264705
4,1,2,4230,1455244,1424417,17.8345,5006,4264705
4,2,0,5924,802188,805864,5.04591,333681,2416315
4,2,1,5928,477346,687979,3.2887,77681,1438926
4,2,2,5908,307524,525717,2.38495,0,926035
4,3,0,6178,655610,406372,4.24581,341831,1986116
4,3,1,6178,259569,275701,1.88927,37118,786103
4,3,2,6178,132403,161871,1.03536,0,401010
4,4,0,6582,1383903,323769,7.78363,761032,4177751
4,4,1,7236,121103,198744,0.905304,7720,364439
4,4,2,7140,102422,172254,0.827115,0,308005
4,5,0,7578,417144,287496,2.49695,241793,1253509
4,5,1,7578,142450,185149,1.35501,22353,429576
4,5,2,7578,101443,147482,1.08729,0,305237
5,1.1,0,3774,258217,305900,2.54185,27629,781227
5,1.1,1,3774,238849,302353,1.75806,11280,723908
5,1.1,2,3774,210055,280543,1.62394,0,636265
5,1.2,0,3880,393879,394464,3.40219,99838,1192581
5,1.2,1,3880,328779,383930,2.67529,43701,997781
5,1.2,2,3880,225349,305094,2.151,0,684202
5,1.3,0,4144,96767,120138,0.971291,26700,290553
5,1.3,1,4144,76743,115452,0.925495,9756,231158
5,1.3,2,4190,94996,167533,0.837902,0,286715
5,1.4,0,4122,623935,449033,3.76294,283546,1884192
5,1.4,1,4122,405587,411835,2.56735,92796,1227290
5,1.4,2,4122,200680,265739,1.478,0,605566
5,1.5,0,4684,84517,109388,0.460517,24718,256232
5,1.5,1,4692,66706,109594,0.416477,6881,203064
5,1.5,2,4692,53936,99125,0.348641,0,163996
5,1.6,0,4684,93302,109589,0.597737,33057,282041
5,1.6,1,4484,66756,99782,0.493384,8561,202852
5,1.6,2,4484,49099,85106,0.401436,0,149098
5,1.7,0,4358,76250,66212,0.719883,31757,229970
5,1.7,1,4358,45145,57454,0.553531,6622,136822
5,1.7,2,4360,36828,54943,0.41672,0,111518
5,1.8,0,4360,28097,23967,0.177041,10162,84487
5,1.8,1,4360,16638,20305,0.132936,1518,50224
5,1.8,2,4360,14229,19159,0.120712,0,42991
5,1.9,0,4968,30132,32682,0.26929,12226,91030
5,1.9,1,5010,21234,34533,0.263547,2273,64209
5,1.9,2,4858,29119,50962,0.393332,0,88146
5,1,0,3740,1432577,1399463,11.2287,9875,4341435
5,1,1,3740,1432577,1399463,10.9492,9875,4341435
5,1,2,3740,1432577,1399463,11.0817,9875,4341435
5,2,0,5002,35954,37756,0.333127,15103,108519
5,2,1,5010,20661,33122,0.265199,2432,62548
5,2,2,4858,20398,34705,0.286885,0,61728
5,3,0,5746,3238,5258,0.0405408,334,9663
5,3,1,5746,2288,4037,0.028942,46,6862
5,3,2,5746,2205,3979,0.0276756,0,6614
5,4,0,5992,5501,7794,0.0419179,1187,16366
5,4,1,5992,3288,5857,0.0285457,49,9805
5,4,2,5992,3264,5903,0.0280689,0,9726
5,5,0,7706,623500,200165,2.98104,412932,1889481
5,5,1,7706,109618,51840,0.724779,10591,333894
5,5,2,8066,218235,297981,1.67106,0,665858
6,1.1,0,3819,6399170,7141939,50.8414,327984,19339124
6,1.1,1,3819,6250970,7116925,51.9782,201975,18902227
6,1.1,2,3819,5858556,6899279,50.2567,0,17718837
6,1.2,0,3971,3942102,5380291,34.6346,452042,11931195
6,1.2,1,3973,3637853,5278741,33.3571,221766,11021780
6,1.2,2,3971,3225367,4985989,31.1123,0,9771785
6,1.3,0,4051,2505900,3396422,20.0257,462606,7596663
6,1.3,1,4051,2162687,3253670,18.0454,207823,6565632
